Venue Number,Venue Name,Venue Category,Zip Code,Neighborhood,Latitude,Longitude
5,Campbell's Place,American Restaurant,19118,Chestnut Hill,40.075084,-75.204779
9,Chestnut Hill Grill,American Restaurant,19118,Chestnut Hill,40.07406,-75.20311
25,Mica,American - Fusion Restaurant,19118,Chestnut Hill,40.076777,-75.207634
16,Ten Thousand Villages - Chestnut Hill,Arts & Crafts Store,19118,Chestnut Hill,40.075044,-75.204678
6,Bredenbeck's Bakery,Bakery,19118,Chestnut Hill,40.072672,-75.202324
7,Cake,Bakery,19118,Chestnut Hill,40.076269,-75.206327
24,TD Bank,Bank,19118,Chestnut Hill,40.076596,-75.207772
29,Wells Fargo,Bank,19118,Chestnut Hill,40.076703,-75.206928
34,Artisans on the Avenue,Boutique,19118,Chestnut Hill,40.075755,-75.206156
2,Iron Hill Brewery & Restaurant,Brewery,19118,Chestnut Hill,40.07521,-75.205261
11,Chestnut Hill Brewing Company,Brewery,19118,Chestnut Hill,40.074255,-75.202701
31,Roller's Express-O,Caf_,19118,Chestnut Hill,40.075125,-75.204869
45,Calypso,Caribbean Restaurant,19118,Chestnut Hill,40.074165,-75.202491
15,Chestnut Hill Cheese Shop,Cheese Shop,19118,Chestnut Hill,40.076193,-75.206746
27,King's Garden,Chinese Restaurant,19118,Chestnut Hill,40.073819,-75.203111
28,Greene Street Consignment,Clothing Store,19118,Chestnut Hill,40.076462,-75.207137
35,J.McLaughlin,Clothing Store,19118,Chestnut Hill,40.075278,-75.204915
12,Starbucks,Coffee Shop,19118,Chestnut Hill,40.076419,-75.20679
40,Poppy's Cafe,Coffee Shop,19118,Chestnut Hill,40.073737,-75.202976
33,Weavers Way Next Door,Organic Health and Beauty ,19118,Chestnut Hill,40.075395,-75.205708
38,Drake's Gourmet Foods & Catering,Deli / Bodega,19118,Chestnut Hill,40.075789,-75.205506
13,The Chestnut Hill Farmers Market,Farmers Market,19118,Chestnut Hill,40.074216,-75.202588
23,Robertson's Flowers & Events,Flower Shop,19118,Chestnut Hill,40.076318,-75.206392
10,Paris Bistro & Jazz Cafe,French Restaurant,19118,Chestnut Hill,40.074218,-75.20329
1,Weavers Way Co-Op Chestnut Hill,Organic Grocery Store,19118,Chestnut Hill,40.075489,-75.205659
3,The Fresh Market,Organic Grocery Store,19118,Chestnut Hill,40.0733,-75.203366
8,Bredenbeck's Ice Cream,Ice Cream Shop,19118,Chestnut Hill,40.072744,-75.202386
21,Chill On The Hill,Ice Cream Shop,19118,Chestnut Hill,40.076465,-75.206113
37,The Knit Wit,Knitting Store,19118,Chestnut Hill,40.073783,-75.203139
20,Clover Market,Market,19118,Chestnut Hill,40.07591,-75.206592
26,Jos. A. Bank Clothiers Inc.,Business Clothing Store,19118,Chestnut Hill,40.075341,-75.205491
4,El Poquito,Mexican Restaurant,19118,Chestnut Hill,40.073596,-75.202887
41,The Paperia,Paper / Office Supplies Store,19118,Chestnut Hill,40.076362,-75.207369
0,Pastorius Park,Park,19118,Chestnut Hill,40.070748,-75.205064
32,The Bone Appetite,Pet Store,19118,Chestnut Hill,40.076353,-75.206966
22,Fiesta Pizza III,Pizza Place,19118,Chestnut Hill,40.075099,-75.204814
19,Hideaway Music,Used Record Shop,19118,Chestnut Hill,40.076851,-75.208068
14,Flying Fish,Seafood Restaurant,19118,Chestnut Hill,40.073209,-75.202669
18,A Taste of Philly,Snack Place,19118,Chestnut Hill,40.076304,-75.20679
30,3000BC WellMed Spa,Spa,19118,Chestnut Hill,40.076019,-75.206164
17,Osaka,Sushi Restaurant,19118,Chestnut Hill,40.076729,-75.207508
44,Sue's Custom Dressmaking & Tailor Shop,Tailor Shop,19118,Chestnut Hill,40.07289,-75.202331
36,Stagecrafters,Theater Compaany,19118,Chestnut Hill,40.07253,-75.202837
43,Oxford Circus Toys,Toy / Game Store,19118,Chestnut Hill,40.072932,-75.202423
39,SEPTA Chestnut Hill West Station,Local Train Station,19118,Chestnut Hill,40.07616,-75.208389
