0,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1,East Toronto,The Beaches,43.676357,-79.293031,0,Health Food Store,Trail,Pub,Wine Bar,Cuban Restaurant,Falafel Restaurant,Ethiopian Restaurant,Eastern European Restaurant,Dog Run,Discount Store
2,East Toronto,"The Danforth West, Riverdale",43.679557,-79.352188,0,Greek Restaurant,Ice Cream Shop,Italian Restaurant,Yoga Studio,Bookstore,Restaurant,Diner,Spa,Dessert Shop,Juice Bar
3,East Toronto,"The Beaches West, India Bazaar",43.668999,-79.315572,0,Park,Coffee Shop,Ice Cream Shop,Liquor Store,Light Rail Station,Burger Joint,Burrito Place,Fast Food Restaurant,Fish & Chips Shop,Italian Restaurant
4,East Toronto,Studio District,43.659526,-79.340923,0,Cafe,Coffee Shop,American Restaurant,Bakery,Italian Restaurant,Comfort Food Restaurant,Chinese Restaurant,Seafood Restaurant,Latin American Restaurant,Bookstore
5,Central Toronto,Lawrence Park,43.72802,-79.38879,0,Bus Line,Park,Swim School,Cuban Restaurant,Ethiopian Restaurant,Eastern European Restaurant,Dog Run,Discount Store,Diner,Dessert Shop
6,Central Toronto,Davisville North,43.712751,-79.390197,0,Grocery Store,Hotel,Gym,Clothing Store,Sandwich Place,Breakfast Spot,Food & Drink Shop,Park,Gay Bar,Gift Shop
7,Central Toronto,North Toronto West,43.715383,-79.405678,0,Coffee Shop,Clothing Store,Yoga Studio,Bagel Shop,Gym / Fitness Center,Fast Food Restaurant,Diner,Dessert Shop,Mexican Restaurant,Park
8,Central Toronto,Davisville,43.704324,-79.38879,0,Dessert Shop,Sandwich Place,Pizza Place,Coffee Shop,Italian Restaurant,Cafe,Sushi Restaurant,Costume Shop,Seafood Restaurant,Brewery
9,Central Toronto,"Moore Park, Summerhill East",43.689574,-79.38316,0,Gym,Playground,Tennis Court,Restaurant,Wine Bar,Cuban Restaurant,Ethiopian Restaurant,Eastern European Restaurant,Dog Run,Discount Store
10,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hi...",43.686412,-79.400049,0,Pub,Coffee Shop,Fried Chicken Joint,Liquor Store,Skating Rink,Spa,Restaurant,Sports Bar,Bagel Shop,Supermarket
11,Downtown Toronto,Rosedale,43.679563,-79.377529,0,Park,Playground,Trail,Building,Wine Bar,Cuban Restaurant,Ethiopian Restaurant,Eastern European Restaurant,Dog Run,Discount Store
